material,o3,myedit,real,hdb
,,,
ceramic,4,2,3,2
,,,
denim,2,2,3,2
,,,
felt,2,2,1,NaN
,,,
glass,2,2,3,1
,,,
leather,2,2,2,4
,,,
metal,2.5,3.25,2.25,2.25
,,,
plastic,1,2,3,4
,,,
stone,1.5,2,3,4
,,,
water,1.25,2.5,2,NaN
,,,
wood,1.5,3,3,2.5
